source,sensitivity_mean,sensitivity_std,sensitivity_max,n_perturbations,delta_mean,delta_std
Am,0.0,0.0,0.0,11,0.0,0.0
C2,0.0022,0.0048,0.018,14,-0.0017,0.005
C3,0.0013,0.0017,0.0072,22,0.0001,0.0022
CT1(Lo1),0.1328,0.1633,0.4418,6,-0.1243,0.1712
CT1(M10),0.0688,0.1563,0.3874,6,-0.0668,0.1573
L1,0.0,0.0,0.0,6,0.0,0.0
L2,0.0,0.0,0.0,16,0.0,0.0
L3,0.0008,0.0015,0.0056,16,-0.0006,0.0016
L4,0.0007,0.0008,0.0033,18,0.0004,0.001
L5,0.0003,0.0009,0.0035,17,-0.0001,0.0009
Lawf1,0.0,,0.0,1,0.0,
Lawf2,0.0003,0.0005,0.0008,3,0.0003,0.0005
Mi1,0.0055,0.0099,0.0407,29,-0.0036,0.0108
Mi10,0.0011,0.0025,0.0085,11,-0.0006,0.0027
Mi12,0.0016,0.0021,0.0056,6,-0.001,0.0024
Mi13,0.0064,0.0056,0.0137,8,-0.005,0.0071
Mi14,0.0003,0.0005,0.0008,3,0.0003,0.0005
Mi15,0.0001,0.0001,0.0002,5,-0.0,0.0001
Mi2,0.0097,0.0145,0.0286,6,-0.0097,0.0145
Mi3,0.0002,0.0002,0.0003,2,-0.0002,0.0002
Mi4,0.0618,0.2006,0.8988,27,-0.0607,0.201
Mi9,0.004,0.0073,0.0324,25,-0.0011,0.0083
R1,0.0005,0.0012,0.0027,5,-0.0005,0.0012
R2,0.0003,0.0007,0.0016,5,-0.0003,0.0007
R3,0.0,0.0,0.0,5,-0.0,0.0
R4,0.0007,0.0017,0.0037,5,-0.0007,0.0017
R5,0.0007,0.0016,0.0035,5,-0.0007,0.0016
R6,0.0004,0.001,0.0022,5,0.0004,0.001
R7,0.0003,0.0004,0.0009,5,-0.0002,0.0004
R8,0.0819,0.2304,0.696,9,-0.0759,0.2327
T1,0.0,0.0,0.0,3,-0.0,0.0
T2,0.0014,0.0013,0.0032,6,0.0009,0.0017
T2a,0.0001,0.0001,0.0003,9,-0.0001,0.0001
T3,0.0008,0.0004,0.0012,3,-0.0004,0.0009
T4a,0.0002,0.0003,0.0005,9,-0.0002,0.0003
T4b,0.0001,0.0001,0.0004,6,-0.0001,0.0002
T4c,0.0002,0.0003,0.0007,7,0.0002,0.0003
T4d,0.0022,0.0045,0.0113,6,-0.0019,0.0046
T5a,0.0015,0.002,0.0054,7,-0.0012,0.0021
T5b,0.0017,0.0021,0.0057,8,0.0011,0.0024
T5c,0.0009,0.0013,0.0031,7,0.0009,0.0013
T5d,0.0081,0.0151,0.0376,6,-0.0081,0.0151
Tm1,0.0024,0.0064,0.0338,32,-0.0021,0.0065
Tm16,0.0005,0.0017,0.0067,30,-0.0005,0.0017
Tm2,0.0008,0.0014,0.0053,44,0.0001,0.0016
Tm20,0.0017,0.0022,0.0058,10,-0.0014,0.0024
Tm28,0.0,0.0,0.0,6,0.0,0.0
Tm3,0.0012,0.0027,0.0096,44,-0.0008,0.0028
Tm4,0.0011,0.0031,0.014,44,-0.0004,0.0032
Tm5Y,0.0,0.0,0.0001,10,0.0,0.0
Tm5a,0.0,0.0,0.0,4,0.0,0.0
Tm5b,0.0,0.0,0.0001,10,0.0,0.0
Tm5c,0.0016,0.0027,0.0067,10,-0.0013,0.0029
Tm9,0.0892,0.114,0.2563,26,-0.0889,0.1142
TmY10,0.0002,0.0005,0.0012,20,-0.0,0.0005
TmY13,0.0004,0.0003,0.0009,10,0.0,0.0005
TmY14,0.0,0.0,0.0,12,-0.0,0.0
TmY15,0.0294,0.0758,0.2583,40,-0.025,0.0774
TmY18,0.0028,0.0037,0.0107,14,-0.0023,0.004
TmY3,0.0001,0.0003,0.0008,16,0.0001,0.0003
TmY4,0.0003,0.0004,0.0013,18,0.0002,0.0005
TmY5a,0.0014,0.0029,0.0098,20,0.0011,0.003
TmY9,0.0018,0.0015,0.0032,6,0.0018,0.0015
