target,sensitivity_mean,sensitivity_std,sensitivity_max,n_perturbations,delta_mean,delta_std
Am,0.0,0.0,0.0,10,0.0,0.0
C2,0.0009,0.0017,0.0035,4,-0.0009,0.0017
C3,0.0011,0.0025,0.0085,15,-0.0001,0.0027
C3(1),0.0018,0.0031,0.0053,3,0.0018,0.0031
CT1(Lo1),0.0356,0.0836,0.2249,7,-0.034,0.0844
CT1(Lo1)(1),0.1128,0.1585,0.2249,2,-0.1128,0.1585
CT1(M10),0.0055,0.0113,0.0308,7,-0.005,0.0116
L1,0.0,0.0,0.0,14,0.0,0.0
L1(1),0.0,,0.0,1,0.0,
L2,0.0,0.0,0.0,15,0.0,0.0
L2(1),0.0,,0.0,1,0.0,
L3,0.0022,0.0025,0.0094,13,0.0002,0.0034
L4,0.0013,0.0016,0.0033,4,0.0003,0.0022
L5,0.0017,0.002,0.0057,11,-0.0017,0.002
L5(1),0.0001,,0.0001,1,-0.0001,
Lawf1,0.0,0.0001,0.0002,6,-0.0,0.0001
Lawf1(1),0.0,0.0,0.0,3,0.0,0.0
Lawf2,0.0023,0.0056,0.018,10,-0.0013,0.0059
Lawf2(1),0.0003,0.0005,0.0008,3,0.0003,0.0005
Mi1,0.0257,0.0933,0.3874,17,-0.023,0.0941
Mi1(1),0.0,,0.0,1,0.0,
Mi10,0.0005,0.0009,0.0023,6,-0.0005,0.0009
Mi10(1),0.0008,0.0013,0.0023,3,-0.0008,0.0013
Mi11,0.0,,0.0,1,0.0,
Mi11(1),0.0,,0.0,1,0.0,
Mi12,0.0006,0.001,0.0024,5,-0.0005,0.0011
Mi12(1),0.0001,0.0001,0.0002,2,0.0001,0.0002
Mi13,0.0009,0.0011,0.0032,7,0.0007,0.0013
Mi13(1),0.0009,0.0016,0.0032,4,0.0009,0.0016
Mi14,0.0001,0.0001,0.0003,4,-0.0,0.0002
Mi14(1),0.0,0.0,0.0,2,0.0,0.0
Mi15,0.0001,0.0002,0.0006,8,-0.0001,0.0002
Mi15(1),0.0006,,0.0006,1,-0.0006,
Mi2,0.0064,0.0135,0.0338,6,-0.0064,0.0135
Mi2(1),0.0007,0.0009,0.0014,2,-0.0007,0.0009
Mi3,0.0,0.0,0.0001,3,0.0,0.0
Mi3(1),0.0,0.0,0.0001,3,0.0,0.0
Mi4,0.0467,0.1677,0.696,17,-0.0464,0.1678
Mi4(1),0.0025,0.004,0.0107,8,-0.0019,0.0044
Mi9,0.0015,0.0042,0.0186,19,-0.0011,0.0043
Mi9(1),0.0003,0.0004,0.0007,5,0.0,0.0005
R1,0.0002,0.0004,0.0007,3,0.0002,0.0004
R2,0.0001,0.0002,0.0003,3,0.0001,0.0002
R3,0.0,0.0,0.0,2,0.0,0.0
R4,0.0005,0.0007,0.001,2,0.0005,0.0007
R5,0.0,0.0001,0.0001,2,-0.0,0.0001
R6,0.0008,,0.0008,1,0.0008,
R7,0.0016,,0.0016,1,0.0016,
R8,0.0004,,0.0004,1,-0.0004,
T1,0.0,0.0,0.0,13,0.0,0.0
T2,0.0018,0.0057,0.0282,24,-0.0011,0.0059
T2(1),0.0003,0.0003,0.001,10,-0.0,0.0005
T2a,0.0004,0.0006,0.0017,11,-0.0001,0.0007
T2a(1),0.0003,0.0007,0.0017,6,0.0003,0.0007
T3,0.0054,0.0114,0.0286,6,-0.0054,0.0114
T3(1),0.0009,0.0007,0.0014,2,-0.0009,0.0007
T4a,0.0018,0.0021,0.0059,12,0.0014,0.0024
T4a(1),0.0003,0.0003,0.0005,2,0.0002,0.0004
T4b,0.0203,0.0483,0.1569,10,-0.0184,0.0492
T4b(1),0.0036,0.005,0.0072,2,-0.0036,0.0051
T4c,0.0007,0.0011,0.0036,12,-0.0002,0.0013
T4c(1),0.0004,0.0005,0.0008,2,-0.0004,0.0005
T4d,0.093,0.2832,0.8988,10,-0.093,0.2832
T4d(1),0.0052,0.0062,0.0096,2,-0.0052,0.0062
T5a,0.0333,0.0744,0.2133,8,-0.0328,0.0747
T5a(1),0.0538,0.1064,0.2133,4,-0.0529,0.107
T5b,0.0774,0.1547,0.4418,9,-0.0769,0.155
T5b(1),0.0632,0.1068,0.222,4,-0.0632,0.1068
T5c,0.0506,0.0935,0.234,8,-0.0489,0.0946
T5c(1),0.0592,0.1165,0.234,4,-0.0578,0.1175
T5d,0.0433,0.0835,0.2563,10,-0.0351,0.0877
T5d(1),0.0599,0.1107,0.2563,5,-0.0435,0.1199
Tm1,0.001,0.002,0.0067,15,-0.0007,0.0021
Tm1(1),0.0032,0.0031,0.0067,4,-0.0027,0.0037
Tm16,0.0011,0.0012,0.0036,7,0.0009,0.0015
Tm16(1),0.0005,0.0005,0.001,5,0.0002,0.0007
Tm2,0.0015,0.0011,0.0038,13,0.0003,0.0019
Tm2(1),0.0018,0.0019,0.0038,3,0.0018,0.0019
Tm20,0.0017,0.0025,0.0072,12,0.0011,0.0028
Tm20(1),0.0002,0.0004,0.0007,3,-0.0002,0.0004
Tm28,0.0,0.0,0.0,7,-0.0,0.0
Tm28(1),0.0,0.0,0.0,3,0.0,0.0
Tm3,0.0026,0.005,0.0137,12,-0.0026,0.0051
Tm3(1),0.0007,0.0004,0.001,3,-0.0005,0.0007
Tm30,0.0,,0.0,1,0.0,
Tm30(1),0.0,,0.0,1,0.0,
Tm4,0.0198,0.0652,0.246,14,-0.0187,0.0656
Tm4(1),0.0427,0.0997,0.246,6,-0.0427,0.0997
Tm5Y,0.0,0.0,0.0,9,0.0,0.0
Tm5Y(1),0.0,0.0,0.0,5,0.0,0.0
Tm5a,0.0,0.0,0.0001,7,0.0,0.0
Tm5a(1),0.0,0.0,0.0,3,-0.0,0.0
Tm5b,0.0,0.0,0.0,12,0.0,0.0
Tm5b(1),0.0,0.0,0.0,6,0.0,0.0
Tm5c,0.002,0.0048,0.0139,8,-0.002,0.0048
Tm5c(1),0.0001,0.0001,0.0002,3,-0.0001,0.0001
Tm9,0.0442,0.1495,0.5631,14,-0.039,0.151
Tm9(1),0.002,0.0021,0.0058,7,-0.0017,0.0025
TmY10,0.0002,0.0002,0.0005,4,0.0002,0.0002
TmY10(1),0.0001,0.0001,0.0002,2,0.0001,0.0001
TmY13,0.0001,0.0002,0.0006,10,0.0,0.0002
TmY13(1),0.0001,0.0001,0.0002,5,-0.0001,0.0001
TmY14,0.0162,0.0646,0.2583,16,-0.0161,0.0646
TmY14(1),0.0369,0.0976,0.2583,7,-0.0369,0.0976
TmY15,0.0062,0.0097,0.0376,18,-0.0026,0.0113
TmY15(1),0.0039,0.0054,0.014,8,-0.0015,0.0066
TmY18,0.0026,0.0057,0.0192,11,-0.0024,0.0058
TmY18(1),0.0015,0.0018,0.0047,5,-0.001,0.0022
TmY3,0.0002,0.0003,0.0012,15,-0.0001,0.0004
TmY3(1),0.0001,0.0001,0.0002,7,-0.0,0.0001
TmY4,0.0002,0.0004,0.0014,18,-0.0,0.0004
TmY4(1),0.0001,0.0001,0.0004,11,0.0,0.0002
TmY5a,0.0008,0.0009,0.0032,13,0.0007,0.001
TmY5a(1),0.0007,0.0006,0.0018,8,0.0007,0.0006
TmY9,0.0005,0.0007,0.0021,11,0.0003,0.0008
TmY9(1),0.0005,0.0009,0.0021,7,0.0005,0.0009
